[2026-07-27T07:50:14.044Z] GET http://localhost:8899/ → 200 (14ms, 42744B)
[2026-07-27T07:50:14.066Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 200 (39ms, 22320B)
[2026-07-27T07:50:14.067Z] GET http://localhost:8899/fonts/inter-400.woff2 → 200 (38ms, 48432B)
[2026-07-27T07:50:14.067Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 200 (36ms, 453B)
[2026-07-27T07:50:14.067Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 200 (38ms, 631B)
[2026-07-27T07:50:14.109Z] GET http://localhost:8899/fonts/inter-500.woff2 → 200 (46ms, 48432B)
[2026-07-27T07:50:14.109Z] GET http://localhost:8899/fonts/inter-700.woff2 → 200 (46ms, 48432B)
[2026-07-27T07:50:14.109Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 200 (45ms, 21964B)
[2026-07-27T07:52:01.484Z] GET http://localhost:8899/ → 200 (62ms, 42846B)
[2026-07-27T07:52:01.646Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 304 (4ms, ?B)
[2026-07-27T07:52:01.646Z] GET http://localhost:8899/fonts/inter-400.woff2 → 304 (3ms, ?B)
[2026-07-27T07:52:01.646Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 304 (2ms, ?B)
[2026-07-27T07:52:01.646Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 304 (3ms, ?B)
[2026-07-27T07:52:01.803Z] GET http://localhost:8899/fonts/inter-500.woff2 → 304 (1ms, ?B)
[2026-07-27T07:52:01.803Z] GET http://localhost:8899/fonts/inter-700.woff2 → 304 (1ms, ?B)
[2026-07-27T07:52:01.804Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 304 (1ms, ?B)
[2026-07-27T08:06:51.112Z] GET http://localhost:8899/ → 200 (58ms, 35854B)
[2026-07-27T08:06:51.289Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 304 (8ms, ?B)
[2026-07-27T08:06:51.289Z] GET http://localhost:8899/fonts/inter-400.woff2 → 304 (8ms, ?B)
[2026-07-27T08:06:51.290Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 304 (7ms, ?B)
[2026-07-27T08:06:51.290Z] GET http://localhost:8899/assets/img/tour.jpg → 200 (5ms, 257882B)
[2026-07-27T08:06:51.290Z] GET http://localhost:8899/assets/img/build.jpg → 200 (7ms, 252643B)
[2026-07-27T08:06:51.290Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 304 (8ms, ?B)
[2026-07-27T08:06:51.459Z] GET http://localhost:8899/fonts/inter-500.woff2 → 304 (?ms, ?B)
[2026-07-27T08:06:51.459Z] GET http://localhost:8899/fonts/inter-700.woff2 → 304 (?ms, ?B)
[2026-07-27T08:06:51.459Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 304 (1ms, ?B)
[2026-07-27T08:08:27.219Z] GET http://localhost:8899/ → 200 (49ms, 36323B)
[2026-07-27T08:08:27.344Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:08:27.345Z] GET http://localhost:8899/fonts/inter-400.woff2 → 200 (?ms, ?B)
[2026-07-27T08:08:27.345Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 200 (?ms, 453B)
[2026-07-27T08:08:27.345Z] GET http://localhost:8899/assets/img/tour.jpg → 304 (1ms, ?B)
[2026-07-27T08:08:27.345Z] GET http://localhost:8899/assets/img/build.jpg → 304 (1ms, ?B)
[2026-07-27T08:08:27.346Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 200 (?ms, 631B)
[2026-07-27T08:08:27.431Z] GET http://localhost:8899/fonts/inter-500.woff2 → 200 (2ms, ?B)
[2026-07-27T08:08:27.433Z] GET http://localhost:8899/fonts/inter-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:08:27.433Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:09:02.530Z] GET http://localhost:8899/ → 200 (7ms, 36378B)
[2026-07-27T08:09:02.546Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:09:02.546Z] GET http://localhost:8899/fonts/inter-400.woff2 → 200 (?ms, ?B)
[2026-07-27T08:09:02.546Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 200 (1ms, 453B)
[2026-07-27T08:09:02.547Z] GET http://localhost:8899/assets/img/tour.jpg → 304 (11ms, ?B)
[2026-07-27T08:09:02.547Z] GET http://localhost:8899/assets/img/build.jpg → 304 (11ms, ?B)
